Wine,Type,Variety,Cost,Review,Rating,Overall,Taste,Store
2009 Familia Zuccardi Santa Julia Reserva,Red,Malbec,$9.99,Santa Julia Reserva Malbec 2009 - Malbec Mania! Search For The Best Malbec Under $20 (http://www.reversewinesnob.com/2011/12/santa-julia-reserva-malbec-2009-malbec.html),Highly Recommended,8,8,Other
2009 Jean-Luc Colombo Les Abeilles Côtes du Rhône Rouge,Red,Blend,$8.99,The Bee's Knees (http://www.reversewinesnob.com/2011/12/jean-luc-colombo-les-abeilles-cotes-du.html),Highly Recommended,8,8,Costco
2009 Las Rocas de San Alejandro Garnacha,Red,Garnacha,$8.99,Las Rocas Garnacha 2009 - Garnacha Love (http://www.reversewinesnob.com/2012/11/las-rocas-garnacha-2009-garnacha-love.html),Highly Recommended,8,8,Other
2010 90+ Cellars Lot 23 Old Vine Malbec,Red,Malbec,$9.99,90+ Cellars Lot 23 Old Vine Malbec 2010 - Magnificent Malbec (http://www.reversewinesnob.com/2012/06/90-cellars-lot-23-old-vine-malbec-2010.html),Highly Recommended,8,8,Other
2010 Banfi Centine Bianco Toscana,White,Blend,$8.99,Simply Savory (http://www.reversewinesnob.com/2012/01/banfi-centine-bianco-toscana-2010.html),Highly Recommended,8,8,Other
2010 Banfi Centine Rosé Toscana,Rosé,Blend,$9.99,Succulent Strawberry With A Hint of Sea Salt (http://www.reversewinesnob.com/2012/01/banfi-centine-rose-toscana-2010.html),Highly Recommended,8,8,Other
2010 Basilica Cafaggio Single Estate Chianti Classico,Red,Chianti,$9.89,Basilica Cafaggio Single Estate Chianti Classico 2010 - The Best $10 Chianti Classico We've Ever Tasted (http://www.reversewinesnob.com/2014/01/basilica-cafaggio-single-estate-chianti-classico.html),Highly Recommended,8,8,Costco
2010 Caligiore Staccato Malbec/Cabernet Sauvignon,Red,Blend,$9.99,Deliciously Fruity and Complex (http://www.reversewinesnob.com/2011/07/2010-caligiore-staccato-malbec-cabernet.html),Recommended Buy,8,8,Other
2010 Château Bonnet Entre-Deux-Mers White,White,Blend,$9.99,Better and Better With Every Sip (http://www.reversewinesnob.com/2011/10/2010-chateau-bonnet-entre-deux-mers.html),Highly Recommended,8,8,Other
2010 Elios Mediterranean White,White,Blend,$9.99,A Sun Soaked Summer Sipper (http://www.reversewinesnob.com/2012/03/elios-mediterranean-white-2010-sun.html),Highly Recommended,8,8,Other
2010 Enrique Foster IQUE Malbec,Red,Malbec,$8.99,Nothing Icky About It (http://www.reversewinesnob.com/2011/09/2010-enrique-foster-ique-malbec-nothing.html),Highly Recommended,8,8,Other
2010 Esporao Quinta Dos Murcas Assobio Douro,Red,Blend,$9.99,Esporao Assobio Douro 2010 - Beautifully Done (http://www.reversewinesnob.com/2013/09/esporao-assobio-douro.html),Highly Recommended,8,8,Other
2010 Graffigna Centenario Reserve Malbec,Red,Malbec,$8.99,A Must-Have Malbec (http://www.reversewinesnob.com/2012/04/graffigna-centenario-reserve-malbec.html),Highly Recommended,8,8,Other
2010 HandCraft Petite Sirah,Red,Petite Sirah,$9.99,HandCraft Petite Sirah 2010 - A Big Wine At A Small Price (http://www.reversewinesnob.com/2013/04/handcraft-petite-sirah.html),Highly Recommended,8,8,Other
2010 Martin & Weyrich Moscato Allegro,White,Moscato,$9.99,Moscato Allegro 2010 - Simply Lovely (http://www.reversewinesnob.com/2012/06/moscato-allegro-2010-simply-lovely.html),Highly Recommended,8,8,Other
2010 McManis Zinfandel,Red,Zinfandel,$9.99,McManis Zinfandel 2010 - An Easy-Drinking and Well-Balanced Zin (http://www.reversewinesnob.com/2012/06/mcmanis-zinfandel-2010-easy-drinking.html),Highly Recommended,8,8,Other
2010 Noble Vines 337 Cabernet Sauvignon,Red,Cabernet Sauvignon,$9.99,Noble Vines 337 Cabernet Sauvignon 2010 - A Brilliant Burger Wine (http://www.reversewinesnob.com/2013/07/noble-vines-337-cabernet-sauvignon.html),Highly Recommended,8,8,Other
2010 Ravenswood Lodi Old Vine Zinfandel,Red,Zinfandel,$9.99,Ravenswood Lodi Old Vine Zinfandel 2010 - Super Ripe and Rich (http://www.reversewinesnob.com/2013/06/ravenswood-lodi-old-vine-zinfandel.html),Highly Recommended,8,8,Other
2010 Shoofly Shiraz,Red,Shiraz,$8.99,Shoofly Shiraz 2010 - Sweet and Spicy (http://www.reversewinesnob.com/2012/12/shoofly-shiraz-2010-sweet-and-spicy.html),Highly Recommended,8,8,Other
2011 Avalon Napa Valley Merlot,Red,Merlot,$9.99,Avalon Napa Valley Merlot 2011 - Royally Good (http://www.reversewinesnob.com/2012/12/avalon-napa-valley-merlot-2011-royally-good.html),Highly Recommended,8,8,Other
2011 Bodega Cruz de Piedra Bandana Chardonnay-Torrontés,White,Blend,$8.99,Bandana Chardonnay-Torrontés 2011 - My Kind Of Chardonnay! (http://www.reversewinesnob.com/2012/06/bandana-chardonnay-torrontes-2011-my.html),Highly Recommended,8,8,Other
2011 Bodegas Barco de Piedra Tempranillo,Red,Tempranillo,$9.99,Bodegas Barco de Piedra Tempranillo 2011 - Costco Week Wine #1 (http://www.reversewinesnob.com/2013/02/bodegas-barco-de-piedra-tempranillo.html),Highly Recommended,8,8,Costco
2011 Columbia Crest H3 Horse Heaven Hills Cabernet Sauvignon,Red,Cabernet Sauvignon,$9.99,"Columbia Crest H3 Cabernet Sauvignon 2011 - Rich, Juicy and Lush (http://www.reversewinesnob.com/2014/01/columbia-crest-h3-cabernet-sauvignon.html)",Highly Recommended,8,8,Costco
2011 Columbia Crest H3 Horse Heaven Hills Chardonnay,White,Chardonnay,$9.99,Columbia Crest H3 Horse Heaven Hills Chardonnay 2011 - Cha-Ching! (http://www.reversewinesnob.com/2014/07/columbia-crest-h3-horse-heaven-hills-chardonnay.html),Highly Recommended,8,8,Other
2011 Douglas Green The Beach House Rosé,Rosé,Pinotage,$8.99,Douglas Green The Beach House Rosé 2011 - The Fruits of Summer (http://www.reversewinesnob.com/2012/06/douglas-green-beach-house-rose-2011.html),Highly Recommended,8,8,Other
2011 Ecco Domani Moscato,White,Moscato,$8.99,Ecco Domani Moscato 2011 - Moscato Monomania (http://www.reversewinesnob.com/2012/06/ecco-domani-moscato-2011-moscato.html),Highly Recommended,8,8,Other
2011 Fincas Patagonicas Zolo Malbec,Red,Malbec,$9.99,Zolo Malbec 2011 - Seriously Good Stuff (http://www.reversewinesnob.com/2012/08/zolo-malbec-2011-seriously-good-stuff.html),Highly Recommended,8,8,Other
2011 Handcraft Chardonnay,White,Chardonnay,$8.99,"Handcraft Chardonnay 2011 - Fresh, Fruity and Tasty (http://www.reversewinesnob.com/2014/04/handcraft-chardonnay.html)",Highly Recommended,8,8,Other
2011 Innocent Bystander Pink Moscato,White,Moscato,$9.99,Innocent Bystander Pink Moscato 2011 - A Beauty for Breakfast (http://www.reversewinesnob.com/2013/02/innocent-bystander-pink-moscato.html),Highly Recommended,8,8,Other
2011 Luca Bosio Barbera d'Asti ,Red,Barbera,$9.99,Luca Bosio Barbera d'Asti 2011 - Bring On The Pizza! (http://www.reversewinesnob.com/2014/08/luca-bosio-barbera-dasti.html),Highly Recommended,8,8,Other
2011 Noble Vines 1 Red Blend,Red,Blend,$9.99,Noble Vines 1 Red Blend 2011 - You've Got Nothing To Fear From These Clones (http://www.reversewinesnob.com/2014/02/noble-vines-1-red-blend.html),Highly Recommended,8,8,Other
2011 Pasqua Ripasso Valpolicella Superiore,Red,Blend,$8.99,Pasqua Ripasso Valpolicella Superiore 2011 - Hits the Trifecta (http://www.reversewinesnob.com/2013/09/pasqua-ripasso-valpolicella-superiore.html),Highly Recommended,8,8,Trader Joe's
2011 Paul Blanck Pinot Blanc d'Alsace,White,Pinot Blanc,$8.99,Paul Blanck Pinot Blanc d'Alsace 2011 - The Magic Continues (http://www.reversewinesnob.com/2013/08/paul-blanck-pinot-blanc-dalsace.html),Highly Recommended,8,8,Other
2011 The Seeker Pinot Noir,Red,Pinot Noir,$9.99,The Seeker Pinot Noir 2011 - Seek It Out For Your Next Pizza! (http://www.reversewinesnob.com/2013/01/the-seeker-pinot-noir-2011.html),Highly Recommended,8,8,Other
2012 Alain Jaume & Fils Grand Veneur Cotes du Rhone Reserve,Box,Blend,$34.99,The Best Box Wines - Alain Jaume & Fils Grand Veneur Cotes du Rhone Reserve 2012 (http://www.reversewinesnob.com/2014/10/alain-jaume-fils-grand-veneur-cotes-du-rhone-reserve-box.html),Highly Recommended,8,8,Other
2012 Charles & Charles Rosé,Rosé,Syrah,$9.99,Charles & Charles Rosé 2012 - Everything You Want In A Rosé (http://www.reversewinesnob.com/2013/05/charles-charles-rose.html),Highly Recommended,8,8,Other
2012 Elsa Bianchi Torrontes,White,Torrontes,$8.99,Elsa Bianchi Malbec and Torrontes 2012 - Value Defined (http://www.reversewinesnob.com/2013/07/elsa-bianchi-malbec-and-torrontes.html),Highly Recommended,8,8,Other
2012 Hardys Nottage Hill Shiraz,Red,Shiraz,$8.99,"Hardys Nottage Hill Shiraz 2012 - Ripe, Tart and Tasty... (http://www.reversewinesnob.com/2014/02/hardys-nottage-hill-shiraz.html)",Highly Recommended,8,8,Other
2012 Jacqueline Bahue Cabernet Franc,Red,Cabernet Franc,$8.99,Jacqueline Bahue Cabernet Franc 2012 - Another Reason To Get Naked (http://www.reversewinesnob.com/2014/04/jacqueline-bahue-cabernet-franc.html),Highly Recommended,8,8,Naked Wines
2012 Jim Olsen Fair Angel,Red,Blend,$9.99,Jim Olsen Fair Angel 2012 - Fairly Delicious (http://www.reversewinesnob.com/2014/04/jim-olsen-fair-angel.html),Highly Recommended,8,8,Naked Wines
2012 Joseph Drouhin Laforet Bourgogne Chardonnay,Red,Pinot Noir,$9.99,Joseph Drouhin Laforet Bourgogne Chardonnay and Pinot Noir - A Pair of Bargains from Burgundy (http://www.reversewinesnob.com/2013/08/joseph-drouhin-laforet-bourgogne.html),Highly Recommended,8,8,Other
2012 Las Rocas Garnacha Rosé,Rosé,Garnacha,$9.99,6 Fantastically Refreshing Rosé Under $12 (http://www.reversewinesnob.com/2014/08/fantastically-refreshing-rose.html),Highly Recommended,8,8,Other
2012 Les Vignerons d'Estezargues Andezon Cotes du Rhone Red,Red,Syrah,$9.99,Andezon Cotes du Rhone Red 2012 - Succulent Syrah! (http://www.reversewinesnob.com/2014/03/andezon-cotes-du-rhone-red.html),Highly Recommended,8,8,Costco
2012 Montes Twins Red Wine,Red,Blend,$9.99,Montes Twins Red Wine 2012 - Double The Fun (http://www.reversewinesnob.com/2013/11/montes-twins-red-wine.html),Highly Recommended,8,8,Other
2012 Red Newt Cellars Circle Riesling,White,Riesling,$9.99,Red Newt Circle Riesling 2012 - Well-Rounded (http://www.reversewinesnob.com/2013/12/red-newt-circle-riesling.html),Highly Recommended,8,8,Other
2012 Trader Joe's GSM Reserve Lot# 96 Dry Creek Valley,Red,Meritage,$9.99,Trader Joe's GSM Reserve Lot# 96 2012 - Trader Joe's Top Picks Wine #1 (http://www.reversewinesnob.com/2014/05/trader-joes-gsm-reserve-lot-96.html),Highly Recommended,8,8,Trader Joe's
2012 Trader Joe's Reserve Lot #100 Paso Robles Syrah,Red,Syrah,$9.99,Trader Joe's Reserve Paso Robles Syrah 2012 - Smooth and Easy (http://www.reversewinesnob.com/2014/10/trader-joes-reserve-paso-robles-syrah.html),Highly Recommended,8,8,Trader Joe's
2012 Wineberry Domaine de Garrigon Cotes du Rhone,Box,Blend,$38.99,The Best Box Wines - Wineberry Domaine de Garrigon Cotes du Rhone 2012 (http://www.reversewinesnob.com/2014/11/the-best-box-wines-wineberry-domaine-de-garrigon-cotes-du-rhone.html),Highly Recommended,8,8,Other
2013 90 Plus Cellars Lot 111 Pinot Noir,Red,Pinot Noir,$9.99,90 Plus Cellars Lot 111 Pinot Noir 2013 - A Lot To Love (http://www.reversewinesnob.com/2014/12/2013-90-plus-cellars-lot-111-pinot-noir.html),Highly Recommended,8,8,Other
2013 Arabella Shiraz,Red,Shiraz,$9.99,Arabella Shiraz 2013 - An Easy Keeper (http://www.reversewinesnob.com/2014/05/arabella-shiraz.html),Highly Recommended,8,8,Naked Wines
2013 Domaine Houchart Cotes de Provence Rosé,Rosé,Blend,$10.99,6 Fantastically Refreshing Rosé Under $12 (http://www.reversewinesnob.com/2014/08/fantastically-refreshing-rose.html),Highly Recommended,8,8,Other
2013 Hey Mambo Dry Rosé,Rosé,Pinot Noir,$8.99,Hey Mambo Dry Rosé 2013 - One Cool Cat (http://www.reversewinesnob.com/2014/07/hey-mambo-dry-rose.html),Highly Recommended,8,8,Other
2013 Kanonkop Kadette Pinotage Rosé,Rosé,Pinotage,$10.99,6 Fantastically Refreshing Rosé Under $12 (http://www.reversewinesnob.com/2014/08/fantastically-refreshing-rose.html),Highly Recommended,8,8,Other
2013 Lieb Cellars Bridge Lane White Blend,Box,Blend,$39.99,The Best Box Wines - Lieb Cellars Bridge Lane White Blend 2013 (http://www.reversewinesnob.com/2014/11/the-best-box-wines-lieb-cellars-bridge-lane-white-blend.html),Highly Recommended,8,8,Other
Anna de Codorniu Cava Brut,Sparkling,Blend,$8.99,Anna de Codorniu Cava Brut - Crazy for Cava (http://www.reversewinesnob.com/2012/12/anna-de-codorniu-cava-brut-crazy-for-cava.html),Highly Recommended,8,8,Other
Fuori Strada Off Road Sangiovese by Monte Bernardi,Red,Sangiovese,$12.99,Fuori Strada Off Road Sangiovese by Monte Bernardi - Old Fashioned Goodness In A Modern Package (http://www.reversewinesnob.com/2012/06/fuori-strada-off-road-sangiovese-and.html),Highly Recommended,8,8,Other
Mionetto Dolce Moscato,Sparkling,Moscato,$9.99,Mionetto Dolce Moscato - Add A Little Sparkle To Your Holidays (http://www.reversewinesnob.com/2013/12/mionetto-dolce-moscato.html),Highly Recommended,8,8,Other
Paul Cheneau Lady of Spain Cava Brut,Sparkling,Blend,$9.99,Paul Cheneau Lady of Spain Cava Brut - Holiday Sparklers Wine #7 (http://www.reversewinesnob.com/2011/12/paul-cheneau-lady-of-spain-cava-brut.html),Highly Recommended,8,8,Other
Willm Pinot Gris Reserve 2011,White,Pinot Gris,$10.99,Pinot Gris From Alsace - Pinot Grigio That Tastes Good (http://www.reversewinesnob.com/2013/04/pinot-gris-from-alsace-pinot-grigio.html),Highly Recommended,8,8,Other
2008 Bodegas Exopto Big Bang,Red,Blend,$13.79,Bodegas Exopto Big Bang 2008 - A Whole Lot of Bang For Your Buck (http://www.reversewinesnob.com/2012/12/bodegas-exopto-big-bang.html),Highly Recommended,8,6,Other
2005 Madrigal Vineyards Napa Valley Petite Sirah,Red,Petite Sirah,$19.99,Madrigal Napa Valley Petite Sirah 2005 - Perfection (http://www.reversewinesnob.com/2013/07/madrigal-napa-valley-petite-sirah.html),Highly Recommended,7.8,10,Other
2008 Petito Split Rock Vineyard Pinot Noir,Red,Pinot Noir,$19.99,Petito Split Rock Vineyard Pinot Noir 2008 - Splendid (http://www.reversewinesnob.com/2014/10/petito-split-rock-vineyard-pinot-noir.html),Highly Recommended,7.8,10,Other
2009 Poderi Aldo Conterno Langhe Rosso,Red,Freisa,$19.99,Poderi Aldo Conterno Langhe Rosso 2009 - Not For The Faint of Heart (http://www.reversewinesnob.com/2013/12/poderi-aldo-conterno-langhe-rosso.html),Highly Recommended,7.8,10,Other
2011 Andrew Murray Vineyards Esperance GSM Red Blend,Red,Blend,$19.99,Andrew Murray Vineyards Esperance 2011 - Making The Excellent Seem Easy (http://www.reversewinesnob.com/2013/05/andrew-murray-vineyards-esperance.html),Highly Recommended,7.8,10,Other
2013 Michael David Winery Ancient Vine Cinsault,Red,Cinsault,$19.99,Bechthold Vineyard Cinsault - Drink A Little Piece of History With These Four Wines (http://www.reversewinesnob.com/2014/11/bechthold-vineyard-cinsault.html),Highly Recommended,7.8,10,Other
2008 Bokisch Vineyards Tempranillo,Red,Tempranillo,$16.99,http://www.reversewinesnob.com/2011/12/bokisch-vineyards-tempranillo-2008.html,Recommended Buy,7.8,9,Other
2008 Star Angel by Montes Syrah,Red,Syrah,$16.99,Montes Star Angel Syrah 2008 - Heavenly (http://www.reversewinesnob.com/2014/09/montes-star-angel-syrah.html),Highly Recommended,7.8,9,Other
2008 Willamette Valley Vineyards Pinot Noir,Red,Pinot Noir,$16.99,http://goo.gl/LYivU,Highly Recommended,7.8,9,Costco
2009 Bodega Monteviejo Lindaflor Petite Fleur,Red,Blend,$16.99,Bodega Monteviejo Lindaflor Petite Fleur 2009 - Silky Smooth and Serious (http://www.reversewinesnob.com/2013/09/bodega-monteviejo-lindaflor-petite-fleur.html),Highly Recommended,7.8,9,Other
2009 Les Clos de Paulilles Banyuls Rimage,Dessert,Grenache,$16.99,Just Add Chocolate For A Little Slice of Heaven (http://www.reversewinesnob.com/2012/05/les-clos-de-paulilles-banyuls-rimage.html),Highly Recommended,7.8,9,Other
2009 Livio Felluga Vertigo,Red,Blend,$16.99,Livio Felluga Vertigo 2009 - A Wine To Swoon Over (http://www.reversewinesnob.com/2014/05/livio-felluga-vertigo.html),Highly Recommended,7.8,9,Other
2010 Conte di Bregonzo Amarone Della Valpolicella,Red,Amarone,$16.99,Conte di Bregonzo Amarone Della Valpolicella 2010 - Vino Velvet (http://www.reversewinesnob.com/2013/12/conte-di-bregonzo-amarone-della-valpolicella.html),Highly Recommended,7.8,9,Trader Joe's
2010 Fuse Wine Napa Valley Cabernet Sauvignon,Red,Cabernet Sauvignon,$16.99,Fuse Wine Napa Valley Cabernet Sauvignon 2010 - Napa Valley Taste Without The Napa Valley Cost (http://www.reversewinesnob.com/2012/10/fuse-wine-napa-valley-cabernet.html),Highly Recommended,7.8,9,Other
2010 Giordano Nebbiolo d'Alba Maestri Italiani,Red,Nebbiolo,$16.99,Giordano Wines - Italian Favorites On A Budget (http://www.reversewinesnob.com/2013/06/giordano-wines-italian-favorites-on-budget.html),Highly Recommended,7.8,9,Other
2010 Vina Maquis Cabernet Sauvignon,Red,Cabernet Sauvignon,$16.99,Maquis Cabernet Sauvignon 2010 - Why pay for Napa Valley when Colchagua Valley will do? (http://www.reversewinesnob.com/2013/05/maquis-cabernet-sauvignon.html),Highly Recommended,7.8,9,Other
2010 Wente Reliz Creek Pinot Noir,Red,Pinot Noir,$16.99,Wente Reliz Creek Pinot Noir 2010 Plus Free Shipping On All Orders at Marketview Liquor (http://www.reversewinesnob.com/2014/11/wente-reliz-creek-pinot-noir.html),Highly Recommended,7.8,9,Other
2010 Zonte's Footstep Lake Doctor Shiraz,Red,Shiraz,$16.99,Zonte's Footstep Lake Doctor Shiraz 2010 - Just What The Doctor Ordered (http://www.reversewinesnob.com/2014/02/zontes-footstep-lake-doctor-shiraz.html),Highly Recommended,7.8,9,Other
2011 Castello Banfi Rosso di Montalcino,Red,Sangiovese,$16.99,"Castello Banfi Rosso di Montalcino 2011 - Smooth, Soft and Luscious (http://www.reversewinesnob.com/2013/12/castello-banfi-rosso-di-montalcino.html)",Highly Recommended,7.8,9,Costco
2011 Coquena Tannat,Red,Tannat,$16.99,Coquena Tannat 2011 - Not For The Faint of Heart (http://www.reversewinesnob.com/2013/07/coquena-tannat.html),Highly Recommended,7.8,9,Other
2012 La Crema Sonoma Coast Pinot Noir,Red,Pinot Noir,$16.99,"La Crema Sonoma Coast Pinot Noir 2012 - Cherry, Cola and Coffee (http://www.reversewinesnob.com/2014/04/la-crema-sonoma-coast-pinot-noir.html)",Highly Recommended,7.8,9,Other
2012 Wente Vineyards Charles Wetmore Cabernet Sauvignon,Red,Cabernet Sauvignon,$16.99,Wente Vineyards Charles Wetmore Cabernet Sauvignon 2012 - Well Worth The Price (http://www.reversewinesnob.com/2014/09/wente-vineyards-charles-wetmore-cabernet-sauvignon.html),Highly Recommended,7.8,9,Other
2012 Willamette Valley Vineyard Whole Cluster Pinot Noir,Red,Pinot Noir,$16.99,Oregon Wine - Pinot Noir and Much Much More Plus the 2012 Willamette Valley Vineyard Whole Cluster Pinot Noir (http://www.reversewinesnob.com/2013/04/oregon-wine-willamette-valley-vineyard-pinot-noir.html),Highly Recommended,7.8,9,Other
2013 Turley Cinsault,Red,Cinsault,$16.99,Bechthold Vineyard Cinsault - Drink A Little Piece of History With These Four Wines (http://www.reversewinesnob.com/2014/11/bechthold-vineyard-cinsault.html),Highly Recommended,7.8,9,Other
2007 90+ Cellars Lot 35 Tempranillo Cabernet Sauvignon Crianza,Red,Blend,$11.99,"Blackberry, Spice and Everything Nice (http://www.reversewinesnob.com/2012/03/90-cellars-lot-35-tempranillo-cabernet.html)",Highly Recommended,7.8,8,Other
2007 Weingut Karp-Schreiber Alte Reben Riesling Spatlese Feinherb,White,Riesling,$11.99,"Karp-Schreiber Alte Reben Riesling Spatlese Feinherb 2007 - Long Name, Very Tasty Wine (http://www.reversewinesnob.com/2014/09/karp-schreiber-alte-reben-riesling-spatlese.html)",Highly Recommended,7.8,8,Other
2008 Bodega Inurrieta SUR,Red,Blend,$11.99,http://www.reversewinesnob.com/2011/07/2008-bodega-inurrieta-sur.html,Highly Recommended,7.8,8,Other
2008 H&G Priorat Red,Red,Garnacha,$10.99,H&G Priorat Red 2008 - A Whole Foods Exclusive That Over-Delivers (http://www.reversewinesnob.com/2014/03/hg-priorat-red.html),Highly Recommended,7.8,8,Whole Foods
2008 Rodney Strong Sonoma County Cabernet Sauvignon,Red,Cabernet Sauvignon,$11.99,http://www.reversewinesnob.com/2011/09/2008-rodney-strong-sonoma-county.html,Highly Recommended,7.8,8,Costco
2008 Zinfinity Sonoma County Zinfandel ,Red,Zinfandel,$11.99,http://www.reversewinesnob.com/2012/03/zinfinity-sonoma-county-zinfandel-2008.html,Highly Recommended,7.8,8,Other
 2009 Cecchi Chianti Classico,Red,Sangiovese,$11.99,Cecchi Chianti Classico 2009 - Classically Charming (http://www.reversewinesnob.com/2013/06/cecchi-chianti-classico-2009.html),Highly Recommended,7.8,8,Other
2009 Dashwood Marlborough Pinot Noir,Red,Pinot Noir,$10.99,http://www.reversewinesnob.com/2012/01/dashwood-marlborough-pinot-noir-2009.html,Highly Recommended,7.8,8,Other
2009 DeMorgenzon DMZ Syrah,Red,Syrah,$11.99,DeMorgenzon DMZ Syrah 2009 - Smoking! (http://www.reversewinesnob.com/2012/07/demorgenzon-dmz-syrah-2009-smoking.html),Highly Recommended,7.8,8,Other
2009 Domaines Barons De Rothschild (Lafite) Los Vascos Grande Reserve Cabernet Sauvignon,Red,Cabernet Sauvignon,$11.99,Los Vascos Grande Reserve Cabernet Sauvignon 2009 - A Finely Tuned Cabernet (http://www.reversewinesnob.com/2012/07/los-vascos-grande-reserve-cabernet.html),Highly Recommended,7.8,8,Other
2009 Franschhoek Cellar Stone Bridge Pinotage,Red,Pinotage,$11.99,http://www.reversewinesnob.com/2012/03/franschhoek-cellar-pinotage-stone.html,Highly Recommended,7.8,8,Other
2009 Louis M. Martini Sonoma County Cabernet Sauvignon,Red,Cabernet Sauvignon,$10.99,Louis M. Martini Sonoma County Cabernet Sauvignon 2009 - A Sure Bet (http://www.reversewinesnob.com/2012/05/louis-m-martini-sonoma-county-cabernet.html),Highly Recommended,7.8,8,Costco
2009 Vina Pomal Crianza,Red,Tempranillo,$11.99,Vina Pomal Crianza 2009 - Rewarding Rioja (http://www.reversewinesnob.com/2013/03/vina-pomal-crianza-2009-rewarding-rioja.html),Highly Recommended,7.8,8,Other
2010 Allegrini Valpolicella,Red,Blend,$11.99,Allegrini Valpolicella 2010 - Goes Down Easy (http://www.reversewinesnob.com/2012/05/allegrini-valpolicella-2010-goes-down.html),Highly Recommended,7.8,8,Other
2010 Bonny Doon Vineyard Contra Old Vine Field Blend,Red,Blend,$11.99,"Bonny Doon Vineyard Contra Old Vine Field Blend 2010 - Deep, Dark and Delicious (http://www.reversewinesnob.com/2012/08/bonny-doon-vineyard-contra-old-vine-field-blend.html)",Highly Recommended,7.8,8,Other
2010 Chateau Saint Julian Bordeaux Superieur,Red,Blend,$11.99,Chateau Saint Julian Bordeaux Superieur 2010 - Bordeaux For The Rest Of Us (http://www.reversewinesnob.com/2014/10/chateau-saint-julian-bordeaux-superieur.html),Highly Recommended,7.8,8,Other
2010 Colomé Torrontés,White,Torrontés,$11.99,http://goo.gl/R1EbD,Highly Recommended,7.8,8,Other
2010 Dalliance Lake County Red Wine,Red,Blend,$11.99,Dalliance Lake County Red Wine 2010 - Far From Boring (http://www.reversewinesnob.com/2012/10/dalliance-lake-county-red-wine-2010-far-from-boring.html),Highly Recommended,7.8,8,Other
2010 Darcie Kent Vineyards Rava BlackJack Vineyard Pinot Noir,Red,Pinot Noir,$11.99,Pinot Noir For The 99 - Darcie Kent Rava BlackJack Vineyard Pinot Noir 2010 (http://www.reversewinesnob.com/2013/08/darcie-kent-rava-blackjack-vineyard-pinot-noir.html),Highly Recommended,7.8,8,Other
2010 Domäne Wachau Grüner Veltliner,White,Gruner Veltliner,$11.99,http://www.reversewinesnob.com/2011/08/2010-domane-wachau-gruner-veltliner.html,Highly Recommended,7.8,8,Other
2010 Donnafugata Sedara,Red,Nero d'Avola,$11.99,Donnafugata Sedara 2010 - One Big Aroma (http://www.reversewinesnob.com/2013/02/donnafugata-sedara-2010-one-big-aroma.html),Highly Recommended,7.8,8,Other
2010 Gen5 Merlot,Red,Merlot,$10.99,Gen5 Merlot 2010 - More Than Your Typical Merlot (http://www.reversewinesnob.com/2012/09/gen5-merlot-2010-more-than-your-typical.html),Highly Recommended,7.8,8,Other
2010 Hahn Winery Central Coast Meritage ,Red,Meritage,$11.99,Hahn Winery Central Coast Meritage 2010 - Make Mine A Meritage Wine #2 (http://www.reversewinesnob.com/2013/02/hahn-winery-central-coast-meritage.html),Highly Recommended,7.8,8,Other
2010 Kanonkop Kadette,Red,Blend,$10.99,Kanonkop Kadette 2010 - An Excellent Cuvée From The Cape (http://www.reversewinesnob.com/2012/12/kanonkop-kadette-2010.html),Highly Recommended,7.8,8,Other
2010 Ken Forrester Reserve Chenin Blanc,White,Chenin Blanc,$11.99,"Ken Forrester Reserve Chenin Blanc 2010 - Rich, Creamy, Toasty and Fruity (http://www.reversewinesnob.com/2012/07/ken-forrester-reserve-chenin-blanc-2010.html)",Highly Recommended,7.8,8,Other
2010 Kim Crawford Marlborough Pinot Noir,Red,Pinot Noir,$11.99,"Kim Crawford Marlborough Pinot Noir 2010 - An Earthy, Spicy Pinot Noir From New Zealand (http://www.reversewinesnob.com/2013/06/kim-crawford-marlborough-pinot-noir.html)",Highly Recommended,7.8,8,Costco
2010 Lyeth Meritage,Red,Meritage,$11.99,Lyeth Meritage 2010 - Make Mine A Meritage Wine #1 (http://www.reversewinesnob.com/2013/02/lyeth-meritage-2010-make-mine-meritage.html),Highly Recommended,7.8,8,Other
2010 Mazzoni Piemonte Barbera,Red,Barbera,$11.99,Mazzoni Piemonte Barbera 2010 - Pizza Perfetto! (http://www.reversewinesnob.com/2014/04/mazzoni-piemonte-barbera.html),Highly Recommended,7.8,8,Other
2010 McKinley Springs Bombing Range Red,Red,Blend,$11.99,Bombing Range Red 2010 - A Winning Blend (http://www.reversewinesnob.com/2014/06/bombing-range-red.html),Highly Recommended,7.8,8,Other
2010 Plantagenet Omrah Unoaked Chardonnay,White,Chardonnay,$11.99,A Zesty Chardonnay Sets The Bar (http://www.reversewinesnob.com/2012/04/plantagenet-omrah-unoaked-chardonnay.html),Highly Recommended,7.8,8,Other
2010 Robert Mondavi Winery Napa Valley Fumé Blanc,White,Sauvignon Blanc,$11.99,Robert Mondavi Napa Valley Fumé Blanc 2010 - Sauvignon Blanc With A Fancy French Name (http://www.reversewinesnob.com/2014/05/robert-mondavi-napa-valley-fume-blanc.html),Highly Recommended,7.8,8,Other
